,0
0,0.0
1,1010.10101010101
2,2020.20202020202
3,3030.30303030303
4,4040.40404040404
5,5050.50505050505
6,6060.60606060606
7,7070.707070707071
8,8080.80808080808
9,9090.90909090909
10,10101.0101010101
11,11111.111111111111
12,12121.21212121212
13,13131.31313131313
14,14141.414141414141
15,15151.51515151515
16,16161.61616161616
17,17171.71717171717
18,18181.81818181818
19,19191.91919191919
20,20202.0202020202
21,21212.121212121212
22,22222.222222222223
23,23232.32323232323
24,24242.42424242424
25,25252.52525252525
26,26262.62626262626
27,27272.727272727272
28,28282.828282828283
29,29292.92929292929
30,30303.0303030303
31,31313.13131313131
32,32323.23232323232
33,33333.33333333333
34,34343.43434343434
35,35353.53535353535
36,36363.63636363636
37,37373.73737373737
38,38383.83838383838
39,39393.93939393939
40,40404.0404040404
41,41414.14141414141
42,42424.242424242424
43,43434.343434343435
44,44444.444444444445
45,45454.54545454545
46,46464.64646464646
47,47474.74747474747
48,48484.84848484848
49,49494.94949494949
50,50505.0505050505
51,51515.15151515151
52,52525.25252525252
53,53535.35353535353
54,54545.454545454544
55,55555.555555555555
56,56565.656565656565
57,57575.757575757576
58,58585.85858585858
59,59595.95959595959
60,60606.0606060606
61,61616.16161616161
62,62626.26262626262
63,63636.36363636363
64,64646.46464646464
65,65656.56565656565
66,66666.66666666666
67,67676.76767676767
68,68686.86868686868
69,69696.9696969697
70,70707.0707070707
71,71717.17171717172
72,72727.27272727272
73,73737.37373737374
74,74747.47474747474
75,75757.57575757576
76,76767.67676767676
77,77777.77777777777
78,78787.87878787878
79,79797.97979797979
80,80808.0808080808
81,81818.18181818181
82,82828.28282828283
83,83838.38383838383
84,84848.48484848485
85,85858.58585858585
86,86868.68686868687
87,87878.78787878787
88,88888.88888888889
89,89898.9898989899
90,90909.0909090909
91,91919.19191919192
92,92929.29292929292
93,93939.39393939394
94,94949.49494949494
95,95959.59595959596
96,96969.69696969696
97,97979.79797979798
98,98989.89898989898
99,100000.0
