,0
0,50000.0
1,50303.030303030304
2,50606.06060606061
3,50909.09090909091
4,51212.121212121216
5,51515.15151515151
6,51818.181818181816
7,52121.21212121212
8,52424.242424242424
9,52727.27272727273
10,53030.30303030303
11,53333.333333333336
12,53636.36363636363
13,53939.393939393936
14,54242.42424242424
15,54545.454545454544
16,54848.48484848485
17,55151.51515151515
18,55454.545454545456
19,55757.57575757576
20,56060.606060606064
21,56363.63636363636
22,56666.666666666664
23,56969.69696969697
24,57272.72727272727
25,57575.757575757576
26,57878.78787878788
27,58181.818181818184
28,58484.84848484848
29,58787.878787878784
30,59090.90909090909
31,59393.93939393939
32,59696.969696969696
33,60000.0
34,60303.030303030304
35,60606.06060606061
36,60909.09090909091
37,61212.121212121216
38,61515.15151515151
39,61818.181818181816
40,62121.21212121212
41,62424.242424242424
42,62727.27272727273
43,63030.303030303025
44,63333.33333333333
45,63636.36363636363
46,63939.393939393936
47,64242.42424242424
48,64545.454545454544
49,64848.48484848485
50,65151.51515151515
51,65454.545454545456
52,65757.57575757576
53,66060.60606060606
54,66363.63636363637
55,66666.66666666666
56,66969.69696969696
57,67272.72727272726
58,67575.75757575757
59,67878.78787878787
60,68181.81818181818
61,68484.84848484848
62,68787.87878787878
63,69090.90909090909
64,69393.93939393939
65,69696.9696969697
66,70000.0
67,70303.0303030303
68,70606.06060606061
69,70909.09090909091
70,71212.12121212122
71,71515.15151515152
72,71818.18181818182
73,72121.21212121213
74,72424.24242424243
75,72727.27272727272
76,73030.30303030302
77,73333.33333333333
78,73636.36363636363
79,73939.39393939394
80,74242.42424242424
81,74545.45454545454
82,74848.48484848485
83,75151.51515151515
84,75454.54545454546
85,75757.57575757576
86,76060.60606060605
87,76363.63636363635
88,76666.66666666666
89,76969.69696969696
90,77272.72727272726
91,77575.75757575757
92,77878.78787878787
93,78181.81818181818
94,78484.84848484848
95,78787.87878787878
96,79090.90909090909
97,79393.93939393939
98,79696.9696969697
99,80000.0
